Srno,RecipeName,TranslatedRecipeName,Ingredients,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,Instructions,TranslatedInstructions,URL,Serial Number
1,क्रीमी चिकन करी रेसिपी - Easy Creamy Chicken Curry Recipe, Easy Creamy Chicken Curry Recipe,"500 ग्राम चिकन - बोन के साथ,2 कप दही,1 बड़ा चम्मच निम्बू का रस,नमक - स्वाद अनुसार,1 इंच अदरक - बारीक काट ले,8 कली लहसुन - बारीक काट ले,1 छोटा चम्मच काली मिर्च पाउडर,1 छोटा चम्मच कसूरी मेथी,1/2 कप क्रीम,1 बड़ा चम्मच तेल","500 grams chicken - with bone, 2 cups yogurt, 1 tbsp lemon juice, salt - as per taste, 1 inch ginger - finely chopped, 8 cloves garlic - finely chopped, 1 tsp black pepper powder, 1 tsp Kasuri methi, 1/2 cup cream, 1 tbsp oil",2,40,42,4,North Indian Recipes,Lunch,Non Vegeterian,"क्रीमी चिकन करी रेसिपी बनाने के लिए सबसे पहले एक बाउल में चिकन, निम्बू का रस, नमक, दही डाले और सब मिला ले. 1 घंटे के लिए अलग से रख दे. अब एक कढ़ाई में तेल गरम करें। तेल गरम होने के बाद इसमें अदरक, लहसुन, हल्का सा पानी डाले और 3 से 4 मिनट के लिए पका ले. 3 से 4 मिनट के बाद इसमें चिकन के पीस बचे हुए मरिनेशन के साथ डाले। 5 मिनट के लिए पका ले. चिकन को पलटे और 5 मिनट के लिए और पकने दे. चिकन को ढक ले और 25 मिनट के लिए धीमी आंच पर पकने दे. 25 मिनट के बाद कढ़ाई से ढक्कन हटाए और अच्छी तरह से मिला ले. चिकन के पक जाने के बाद इसमें क्रीम, काली मिर्च पाउडर और कसूरी मेथी डाले। सबको मिला ले और उबाला आने दे. उबाला आने के बाद, गैस बंद करें और परोसे। क्रीमी चिकन करी रेसिपी को तवा पराठा, जीरा राइस और टमाटर प्याज ककड़ी रायते के साथ रात के खाने के लिए परोसे।
","To make the creamy chicken curry recipe, first of all add chicken, lemon juice, salt, yogurt and all in a bowl. Keep it aside for 1 hour. Now heat oil in a pan. After the oil is hot, add ginger, garlic, light water and cook it for 3 to 4 minutes. After 3 to 4 minutes, add chicken pieces along with the remaining marination. Cook for 5 minutes. Turn the chicken over and let it cook for another 5 minutes. Cover the chicken and let it cook on low heat for 25 minutes. After 25 minutes remove the lid from the pan and mix well. After the chicken is cooked add cream, black pepper powder and kasoori methi to it. Mix it all and let it boil. After boiling, turn off the gas and serve. Serve the Creamy Chicken Curry Recipe with Tawa Paratha, Cumin Rice and Tomato Onion Cucumber Raita for dinner.",https://www.archanaskitchen.com/easy-creamy-chicken-curry-recipe-in-hindi,1
2,Pattani Kootu Recipe (Green Peas Curry),Pattani Kootu Recipe (Green Peas Curry),"1-1/2 Green peas (Matar),1 Onion - finely chopped,1/2 cup Fresh coconut - grated,4 Green Chillies,1 teaspoon Cumin seeds (Jeera),1 sprig Curry leaves,1 teaspoon Fennel seeds (Saunf),1 teaspoon Mustard seeds,Salt - to taste,1 teaspoon Sunflower Oil","1-1/2 Green peas (Matar),1 Onion - finely chopped,1/2 cup Fresh coconut - grated,4 Green Chillies,1 teaspoon Cumin seeds (Jeera),1 sprig Curry leaves,1 teaspoon Fennel seeds (Saunf),1 teaspoon Mustard seeds,Salt - to taste,1 teaspoon Sunflower Oil",10,25,35,4,Kerala Recipes,Side Dish,Vegetarian,"To begin making Pattani Kootu Recipe (Green Peas Curry), in a mixer grinder, grind grated coconut, green chillies and cumin seeds into a thick paste. Keep aside till required.Heat oil in a kadai. Add mustard seeds and wait until they splutters.Add fennel seeds, curry leaves, and finely chopped onions and saute until the onions turn pinkish.Add the ground coconut masala reserved earlier and cook further until the coconut paste comes together from the sides of the pan.Add green peas and cook for about 3 minutes or till they are almost a bit soft and looks a little cooked. Add salt and stir.Now add about 1/2 cup water and cook covered until the green peas are well cooked, and are almost mashable.Adjust salt if required and cook until the dish is thick in consistency, now turn off heat.Serve Pattani Kootu Recipe (Green Peas Curry) with Pudina Tawa Paratha Recipe (Mint Leaf Skillet Flat Bread), steamed rice, Varutharachu Sambar Recipe for a simple weeknight dinner.
","To begin making Pattani Kootu Recipe (Green Peas Curry), in a mixer grinder, grind grated coconut, green chillies and cumin seeds into a thick paste. Keep aside till required.Heat oil in a kadai. Add mustard seeds and wait until they splutters.Add fennel seeds, curry leaves, and finely chopped onions and saute until the onions turn pinkish.Add the ground coconut masala reserved earlier and cook further until the coconut paste comes together from the sides of the pan.Add green peas and cook for about 3 minutes or till they are almost a bit soft and looks a little cooked. Add salt and stir.Now add about 1/2 cup water and cook covered until the green peas are well cooked, and are almost mashable.Adjust salt if required and cook until the dish is thick in consistency, now turn off heat.Serve Pattani Kootu Recipe (Green Peas Curry) with Pudina Tawa Paratha Recipe (Mint Leaf Skillet Flat Bread), steamed rice, Varutharachu Sambar Recipe for a simple weeknight dinner.",https://www.archanaskitchen.com/pattani-kootu-recipe-green-peas-curry,2
3,Goan Sweet Khatkhati Recipe (Coconut Candy),Goan Sweet Khatkhati Recipe (Coconut Candy),"1 cup Fresh coconut - shredded (or dry coconut),1/4 cup Sesame seeds (Til seeds) - dry roasted,1/4 cup Raw Peanuts (Moongphali) - roasted and crushed,250 grams Jaggery,1 teaspoon Cardamom Powder (Elaichi),Ghee - clarified butter for greasing the plate","1 cup Fresh coconut - shredded (or dry coconut),1/4 cup Sesame seeds (Til seeds) - dry roasted,1/4 cup Raw Peanuts (Moongphali) - roasted and crushed,250 grams Jaggery,1 teaspoon Cardamom Powder (Elaichi),Ghee - clarified butter for greasing the plate",10,20,30,4,Goan Recipes,Dessert,Vegetarian,"To begin making the Goan Sweet Khatkhati recipe, grease a plate with ghee and keep it aside.Heat the jaggery in a non stick saucepan on medium high heat. Stir in between.Once the jaggery is melted properly, switch off the heat.Add in all the ingredients like shredded coconut, sesame seeds, crushed peanuts and cardamom powder and mix well.I used store bought roasted sesame, but you can roast the raw sesame on a skillet kept on low flame till they slightly change colour.Let the mixture cool down for 5 minutes. Don't let it cool down completely.Take a tablespoon of mixture on your palm and shape it into a ball and then flatten it by pressing into disc shape.Keep it on a greased plate and repeat for the remaining mixture.Let them cool down completely and then store in the air tight container.Serve Goan Sweet Khatkhati on its own on special occasions to your friends and family.
","To begin making the Goan Sweet Khatkhati recipe, grease a plate with ghee and keep it aside.Heat the jaggery in a non stick saucepan on medium high heat. Stir in between.Once the jaggery is melted properly, switch off the heat.Add in all the ingredients like shredded coconut, sesame seeds, crushed peanuts and cardamom powder and mix well.I used store bought roasted sesame, but you can roast the raw sesame on a skillet kept on low flame till they slightly change colour.Let the mixture cool down for 5 minutes. Don't let it cool down completely.Take a tablespoon of mixture on your palm and shape it into a ball and then flatten it by pressing into disc shape.Keep it on a greased plate and repeat for the remaining mixture.Let them cool down completely and then store in the air tight container.Serve Goan Sweet Khatkhati on its own on special occasions to your friends and family.
",https://www.archanaskitchen.com/goan-sweet-khatkhati-recipe-coconut-candy,3
4,Punjabi Black Chickpea Curry Recipe - Kale Chane Ki Sabzi,Punjabi Black Chickpea Curry Recipe - Kale Chane Ki Sabzi,"1 cup Kala Chana (Brown Chickpeas),4 tablespoons Sunflower Oil,1 teaspoon Cumin seeds (Jeera),1 Onion - finely sliced,1 tablespoon Ginger Garlic Paste,3 Tomatoes - pureed,1 teaspoon Red Chilli powder,1 teaspoon Salt,1 teaspoon Garam masala powder,Coriander (Dhania) Leaves - Handful,Water - as needed","1 cup Kala Chana (Brown Chickpeas),4 tablespoons Sunflower Oil,1 teaspoon Cumin seeds (Jeera),1 Onion - finely sliced,1 tablespoon Ginger Garlic Paste,3 Tomatoes - pureed,1 teaspoon Red Chilli powder,1 teaspoon Salt,1 teaspoon Garam masala powder,Coriander (Dhania) Leaves - Handful,Water - as needed",10,30,40,4,Punjabi,Dinner,Vegetarian,"To begin making the Punjabi Black Chickpea Curry recipe, firstly wash the chickpeas with water a couple of times and then soak it in drinking water for at least 8 hours or overnight. Close with a lid and set aside.Next, take the chickpeas along with the water used for soaking in a pressure cooker, add 1/2 teaspoon salt, some more water if required and close the cooker. Pressure cook for about 8 to 10 whistles, switch off the heat and let the pressure release naturally.Once it is done, open the cooker and strain the chickpeas. Also reserve the water in a bowl.Heat oil in the same pressure cooker. Make sure you have wiped off the water before adding oil into the cooker.Add cumin seeds and saute it for about 10 seconds. After 10 seconds, add onions and cook till the onions become soft and translucent. Next, add the ginger garlic paste and let it cook for about 2 minutes.Next, add salt, red chilli powder, tomato puree and cook for a few minutes on medium flame, till oil starts separating. This will take about 3 to 4 minutes.After 3 to 4 minutes, add garam masala, coriander leaves and the cooked chickpeas. Mix well and then finally add some more water.Close the lid of the pressure cooker and pressure cook for 2 whistles. Once it is done, switch off the heat and serve hot.Serve Punjabi Black Chickpea Curry along with Jeera Rice, Kachumber Salad and Boondi Raita for a weekday meal. You can also pack the same meal in your lunch box.
","To begin making the Punjabi Black Chickpea Curry recipe, firstly wash the chickpeas with water a couple of times and then soak it in drinking water for at least 8 hours or overnight. Close with a lid and set aside.Next, take the chickpeas along with the water used for soaking in a pressure cooker, add 1/2 teaspoon salt, some more water if required and close the cooker. Pressure cook for about 8 to 10 whistles, switch off the heat and let the pressure release naturally.Once it is done, open the cooker and strain the chickpeas. Also reserve the water in a bowl.Heat oil in the same pressure cooker. Make sure you have wiped off the water before adding oil into the cooker.Add cumin seeds and saute it for about 10 seconds. After 10 seconds, add onions and cook till the onions become soft and translucent. Next, add the ginger garlic paste and let it cook for about 2 minutes.Next, add salt, red chilli powder, tomato puree and cook for a few minutes on medium flame, till oil starts separating. This will take about 3 to 4 minutes.After 3 to 4 minutes, add garam masala, coriander leaves and the cooked chickpeas. Mix well and then finally add some more water.Close the lid of the pressure cooker and pressure cook for 2 whistles. Once it is done, switch off the heat and serve hot.Serve Punjabi Black Chickpea Curry along with Jeera Rice, Kachumber Salad and Boondi Raita for a weekday meal. You can also pack the same meal in your lunch box.",https://www.archanaskitchen.com/punjabi-black-chickpea-curry-recipe-kale-chane-ki-sabzi,4
5,Paneer Bhurji Wraps Recipe,Paneer Bhurji Varpas Recipe,"4 Tortillas,1 cup Paneer (Homemade Cottage Cheese) - grated,1 Onion - finely chopped,1 Tomato - finely chopped,1 Green Chilli - finely chopped,4 tablespoons Coriander (Dhania) Leaves - finely chopped,2 teaspoons Sunflower Oil,Salt - to taste","4 Tortillas,1 cup Paneer (Homemade Cottage Cheese) - grated,1 Onion - finely chopped,1 Tomato - finely chopped,1 Green Chilli - finely chopped,4 tablespoons Coriander (Dhania) Leaves - finely chopped,2 teaspoons Sunflower Oil,Salt - to taste",5,25,30,4,Indian,Snack,High Protein Vegetarian,"To begin making the Paneer Bhurji Wraps Recipe, heat oil in a wok/kadhai, add the chopped onion and saute till they turns soft and translucent.Once the onions have softened, add the tomatoes, green chillies and cook until the tomatoes are half done.Add the grated paneer, season with salt and mix well. Let it cook for 2 minutes with the lid closed.Once the paneer is cooked, add the coriander leaves and give it a good stir and switch off the heat.Now, heat the tortilla wraps in a skillet in medium flame using a little oil if you prefer and keep aside.To arrange the Paneer Bhurji Wraps, take each tortilla wrap and fill 2 to 3 tablespoons of the paneer filling in the middle.Fold one third of the tortilla wrap at the bottom and then flap over the sides. Serve Paneer Bhurji Wraps along with Tomato Garlic Chutney, Dhaniya Pudina Chutney or any other chutney of your choice in your kids lunch box or as a tea time snack.
","To begin making the Paneer Bhurji Wraps Recipe, heat oil in a wok/kadhai, add the chopped onion and saute till they turns soft and translucent.Once the onions have softened, add the tomatoes, green chillies and cook until the tomatoes are half done.Add the grated paneer, season with salt and mix well. Let it cook for 2 minutes with the lid closed.Once the paneer is cooked, add the coriander leaves and give it a good stir and switch off the heat.Now, heat the tortilla wraps in a skillet in medium flame using a little oil if you prefer and keep aside.To arrange the Paneer Bhurji Wraps, take each tortilla wrap and fill 2 to 3 tablespoons of the paneer filling in the middle.Fold one third of the tortilla wrap at the bottom and then flap over the sides. Serve Paneer Bhurji Wraps along with Tomato Garlic Chutney, Dhaniya Pudina Chutney or any other chutney of your choice in your kids lunch box or as a tea time snack.",http://www.archanaskitchen.com/paneer-burjee-wraps-recipe,5
6,Thotakura Vepudu Recipe - Andhra Style Amaranth Greens Stir Fry,Thotakura Vepudu Recipe - Andhra Style Amaranth Greens Stir Fry,"4 cups Green Amaranth Leaves - tightly packed,10 cloves Garlic,4 Green Chillies,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Sesame seeds (Til seeds) - dry roasted and powdered,2 Dry Red Chillies,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon White Urad Dal (Split),1 sprig Curry leaves","4 cups Green Amaranth Leaves - tightly packed,10 cloves Garlic,4 Green Chillies,1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Sesame seeds (Til seeds) - dry roasted and powdered,2 Dry Red Chillies,1/2 teaspoon Mustard seeds,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon White Urad Dal (Split),1 sprig Curry leaves",5,10,15,4,Andhra,Lunch,Vegetarian,"To begin making the Thotakura Vepudu Recipe, clean, wash and roughly chop the amaranth leaves. Keep aside.Dry roast the sesame seeds on medium heat, powder it using a mixer grinder and keep aside.Now, heat oil in a heavy bottomed pan, add the mustard seeds, cumin seeds, urad dal and let it crackle.Add the dried red chillies, curry leaves and let it splutter.Roughly pound the garlic cloves and green chillies using a pestle and mortar and add it to the pan. Saute for a minute till the garlic turn light brown.Add the turmeric powder, chopped amaranth greens and mix well. Wait for the greens to wilt.Season with salt and let the green completely dry out. This will take around 5 minutes.Turn off the heat, sprinkle the sesame powder on top and mix well.Serve the Thotakura Vepudu Recipe along with Phulka/Steamed Rice, Palak Pappu and Avakaya Pickle for a delicious Andhra Style weeknight dinner.
","To begin making the Thotakura Vepudu Recipe, clean, wash and roughly chop the amaranth leaves. Keep aside.Dry roast the sesame seeds on medium heat, powder it using a mixer grinder and keep aside.Now, heat oil in a heavy bottomed pan, add the mustard seeds, cumin seeds, urad dal and let it crackle.Add the dried red chillies, curry leaves and let it splutter.Roughly pound the garlic cloves and green chillies using a pestle and mortar and add it to the pan. Saute for a minute till the garlic turn light brown.Add the turmeric powder, chopped amaranth greens and mix well. Wait for the greens to wilt.Season with salt and let the green completely dry out. This will take around 5 minutes.Turn off the heat, sprinkle the sesame powder on top and mix well.Serve the Thotakura Vepudu Recipe along with Phulka/Steamed Rice, Palak Pappu and Avakaya Pickle for a delicious Andhra Style weeknight dinner.
",https://www.archanaskitchen.com/thotakura-vepudu-recipe-andhra-style-amaranth-greens-stir-fry,6
7,अासामिस फिश फ्राइड राइस रेसिपी - Assamese Fish Fried Rice (Recipe In Hindi), Assamese Fish Fried Rice (Recipe In Hindi),"2 कप चावल - पका ले,1 कप फिश - आधा काट ले,1 प्याज - काट ले,2 बड़े चमच्च सूखा नारियल - कस ले,1 बड़ा चमच्च धनिया पाउडर,1 छोटा चमच्च हल्दी पाउडर,1 छोटा चमच्च जीरा पाउडर,1 इंच अदरक - काट ले,1/2 कप हरे मटर,1 गाजर - छोटा काट ले,1 तेज पत्ता,तेल - प्रयोग अनुसार,1 छोटा चमच्च निम्बू का रस,नमक - स्वाद अनुसार,हरा धनिया - काट ले,हरे प्याज - काट ले","2 cups rice - cook, 1 cup fish - cut in half, 1 onion - cut, 2 tablespoons dry coconut - tighten, 1 tablespoon coriander powder, 1 teaspoon turmeric powder, 1 teaspoon cumin powder, 1 inch Ginger - chopped, 1/2 cup green peas, 1 carrot - cut into small pieces, 1 bay leaf, oil - as per use, 1 teaspoon lemon juice, salt - as per taste, green coriander - chopped, green onion - chopped Take",10,15,25,2,Assamese,Dinner,High Protein Non Vegetarian,"अासामिस फिश फ्राइड राइस बनाने के लिए सबसे पहले फिश को धो कर 1 इंच में काट ले. अब एक बाउल में धनिया पाउडर, हल्दी पाउडर, जीरा और अदरक मिला ले.अब एक कढ़ाई में तेल गरम करें. इसमें बाउल में बनाया हुआ मसाला डाले और 3 से 4 मिनट के लिए पका ले.    अब इसमें फिश डाले और धीमी आंच पर 5 मिनट के लिए पका ले. फिश को निकाले और अलग से रख दे. अब बचे हुए तेल में तेज पत्ता और प्याज डाले और प्याज के नरम होने तक पकाए।  अब इसमें नारियल डाले और 2 से 3 मिनट के लिए पका ले. अब इसमें निम्बू का रस, मटर और गाजर डाले और अगले 2 मिनट के लिए पका ले.अब इसमें चावल डाले और अच्छी तरह से मिला ले. 1 मिनट बाद इसमें फिश डाले और मिलाए। 1 मिनट तक पकाए और फिर हरे धनिये और हरे प्याज से गार्निश करें। अासामिस फिश फ्राइड राइस को दही और कचुम्बर सलाद के साथ रात के खाने के लिए परोसे।
","To make Asamis fish fried rice, firstly wash and cut the fish into 1 inch. Now mix coriander powder, turmeric powder, cumin and ginger in a bowl. Now heat oil in a pan. Add the spices prepared in the bowl and cook for 3 to 4 minutes. Now add fish and cook for 5 minutes on low flame. Remove the fish and keep it aside. Now add bay leaves and onions to the remaining oil and cook till the onion becomes soft. Now add coconut and cook for 2 to 3 minutes. Now add lemon juice, peas and carrots to it and cook it for next 2 minutes. Now add rice and mix it well. After 1 minute add fish and mix. Cook for 1 minute and then garnish with green coriander and green onions. Serve Asamis Fish Fried Rice with Curd and Kachumbar Salad for dinner.",https://www.archanaskitchen.com/assamese-fish-fried-rice-recipe-in-hindi,7
8,Hari Matar Ke Pakode Recipe - Green Pea Fritters,Green Pea Pakoras Recipe - Green Pea Freighters,"2-1/2 cups Green peas (Matar) - lightly blanched,1/2 cup Coriander (Dhania) Leaves,5 cloves Garlic,4 Green Chillies - finely chopped,1 teaspoon Cumin seeds (Jeera),1-1/2 cups Gram flour (besan),1/4 teaspoon Asafoetida (hing),2 Onion - sliced,Salt - to taste,Sunflower Oil - for frying","2-1/2 cups Green peas (Matar) - lightly blanched,1/2 cup Coriander (Dhania) Leaves,5 cloves Garlic,4 Green Chillies - finely chopped,1 teaspoon Cumin seeds (Jeera),1-1/2 cups Gram flour (besan),1/4 teaspoon Asafoetida (hing),2 Onion - sliced,Salt - to taste,Sunflower Oil - for frying",20,20,40,4,Indian,Snack,Vegetarian,"To begin making the Hari Matar Ke Pakode Recipe - Green Pea Fritters, we will coarsely blend few of the pakora ingredients in a chopper or a mixer-grinder.Place the coriander leaves, peas, green chilies, garlic and cumin seeds in the blender and pulse to get a coarse mixture.Transfer the ingredients to a mixing bowl, add the salt, onions and gram flour and mix well to combine. Add a little water to make a thick batter - only if required - like a few tablespoons. Check the salt and spices and adjust to suit your taste.Heat a kadai with enough oil to deep fry the Hari Matar Pakoras.Once the oil is hot spoon the matar pakora batter into the kadai and fry them till golden brown and cris on all sides. Do not over crowd the kadai. Once one batch of the Matar ke Pakode are done, remove from the pan and drain on an oil absorbent paper.Proceed the same way with the remaining pakora batter.Serve the Hari Matar Ke Pakode as a evening tea time snack along with Ginger Cardamom Chai or serve as an appetizer along with Pudina Dahi Chutney Recipe- Mint Yoghurt Dip at your next party.
","To begin making the Hari Matar Ke Pakode Recipe - Green Pea Fritters, we will coarsely blend few of the pakora ingredients in a chopper or a mixer-grinder.Place the coriander leaves, peas, green chilies, garlic and cumin seeds in the blender and pulse to get a coarse mixture.Transfer the ingredients to a mixing bowl, add the salt, onions and gram flour and mix well to combine. Add a little water to make a thick batter - only if required - like a few tablespoons. Check the salt and spices and adjust to suit your taste.Heat a kadai with enough oil to deep fry the Hari Matar Pakoras.Once the oil is hot spoon the matar pakora batter into the kadai and fry them till golden brown and cris on all sides. Do not over crowd the kadai. Once one batch of the Matar ke Pakode are done, remove from the pan and drain on an oil absorbent paper.Proceed the same way with the remaining pakora batter.Serve the Hari Matar Ke Pakode as a evening tea time snack along with Ginger Cardamom Chai or serve as an appetizer along with Pudina Dahi Chutney Recipe- Mint Yoghurt Dip at your next party.",http://www.archanaskitchen.com/hari-matar-ke-pakode-recipe-green-pea-fritters,8
9,Bihari Style Aloo Ka Chokha Recipe - Spiced & Mashed Potatoes With Mustard Oil,Bihari Style Aloo Ka Chokha Recipe - Spiced & Mashed Potatoes With Mustard Oil,"4 Potatoes (Aloo) - boiled,2 Green Chillies - finely chopped,2 Onions - finely chopped,1/2 teaspoon Red Chilli powder,1 tablespoon Mustard oil,Salt - as needed,4 sprig Coriander (Dhania) Leaves - finely chopped","4 Potatoes (Aloo) - boiled,2 Green Chillies - finely chopped,2 Onions - finely chopped,1/2 teaspoon Red Chilli powder,1 tablespoon Mustard oil,Salt - as needed,4 sprig Coriander (Dhania) Leaves - finely chopped",10,45,55,4,Bihari,Lunch,Vegetarian,"To begin making Bihari Style Aloo Ka Chokha Recipe, first boil the potatoes until soft using a pressure cooker.Once the potatoes are cooked through, peel the skin and mash it using a fork in a mixing bowl and keep aside.Heat oil in a heavy bottomed pan, add the onions and green chilies, saute for a few minutes until the onions turn soft. Add the mashed potatoes, salt and red chili powder and stir well to combine. Saute for a few more minutes until the flavors come through.Check the salt and spices and adjust to suit your taste. Finally stir in the chopped coriander leaves and serve.Serve the Aloo Choka along with Litti or Phulkas and Kadhi for lunch or dinner.
","To begin making Bihari Style Aloo Ka Chokha Recipe, first boil the potatoes until soft using a pressure cooker.Once the potatoes are cooked through, peel the skin and mash it using a fork in a mixing bowl and keep aside.Heat oil in a heavy bottomed pan, add the onions and green chilies, saute for a few minutes until the onions turn soft. Add the mashed potatoes, salt and red chili powder and stir well to combine. Saute for a few more minutes until the flavors come through.Check the salt and spices and adjust to suit your taste. Finally stir in the chopped coriander leaves and serve.Serve the Aloo Choka along with Litti or Phulkas and Kadhi for lunch or dinner.
",https://www.archanaskitchen.com/bihari-style-aloo-ka-chokha-recipe-spiced-mashed-potatoes-with-mustard-oil,9
10,Chatpata Kabuli Chana Salad - Chickpea Salad Recipe,Chatpata Kabuli Chana Salad - Chickpea Salad Recipe,"1 cup Kabuli Chana (White Chickpeas) - soaked overnight and cooked al dente,1 Onion - finely chopped,1 Tomato - finely chopped,1 Green Chilli - finely chopped,1 teaspoon Chaat Masala Powder,Salt - to taste,1 Lemon - juice extracted,4 sprig Coriander (Dhania) Leaves - finely chopped","1 cup Kabuli Chana (White Chickpeas) - soaked overnight and cooked al dente,1 Onion - finely chopped,1 Tomato - finely chopped,1 Green Chilli - finely chopped,1 teaspoon Chaat Masala Powder,Salt - to taste,1 Lemon - juice extracted,4 sprig Coriander (Dhania) Leaves - finely chopped",15,40,55,4,Indian,Appetizer,High Protein Vegetarian,"To begin making Kabuli Chana Salad/ Chickpea Salad Recipe, wash and soak the chickpeas overnight in water.In a pressure cooker, add the chana, salt and water and pressure cook for 8 to 10 whistles and cook for about 30 minutes until 30 minutes reduce the flame and continue to cook for 15 more minutes. Turn off the flame. Allow the pressure to release naturally, drain the water and transfer the chana into a bowl and set aside. In a mixing bowl, add the cooked chickpea, onion, tomatoes, green chillies, salt, chaat masala and lemon juice.Give it a stir and check the taste of the Kabuli Chana Salad and adjust the salt accordingly.Once done, garnish the Kabuli Chana Salad with coriander leaves and serve.Serve Kabuli Chana Salad/ Chickpea Salad Recipe  as whole dish if you feel like eating something healthy, or you can pair it along with Kashmiri Paneer Recipe in Spiced Milk Curry and Phulkas for a simple weeknight dinner.
","To begin making Kabuli Chana Salad/ Chickpea Salad Recipe, wash and soak the chickpeas overnight in water.In a pressure cooker, add the chana, salt and water and pressure cook for 8 to 10 whistles and cook for about 30 minutes until 30 minutes reduce the flame and continue to cook for 15 more minutes. Turn off the flame. Allow the pressure to release naturally, drain the water and transfer the chana into a bowl and set aside. In a mixing bowl, add the cooked chickpea, onion, tomatoes, green chillies, salt, chaat masala and lemon juice.Give it a stir and check the taste of the Kabuli Chana Salad and adjust the salt accordingly.Once done, garnish the Kabuli Chana Salad with coriander leaves and serve.Serve Kabuli Chana Salad/ Chickpea Salad Recipe  as whole dish if you feel like eating something healthy, or you can pair it along with Kashmiri Paneer Recipe in Spiced Milk Curry and Phulkas for a simple weeknight dinner.",https://www.archanaskitchen.com/chickpea-salad-recipe-with-tamarind-dressing,10
